Date,Price,Open,High,Low
2021-01-08,55.99,54.56,56.36,54.34
2021-01-07,54.38,54.13,54.9,53.94
2021-01-06,54.3,53.52,54.73,53.02
2021-01-05,53.6,50.95,53.9,50.7
2021-01-04,51.09,51.5,53.33,50.56
2020-12-31,51.8,51.49,51.84,50.9
2020-12-30,51.34,51.32,51.56,51.04
2020-12-29,51.09,51.02,51.63,50.86
2020-12-28,50.86,51.25,52.02,50.53
2020-12-24,51.29,51.11,51.77,50.62
2020-12-23,51.2,49.7,51.59,49.2
2020-12-22,50.08,50.65,50.86,49.56
2020-12-21,50.91,52.22,52.32,49.2
2020-12-18,52.26,51.43,52.48,51.13
2020-12-17,51.5,51.12,51.9,51.08
2020-12-16,51.08,50.64,51.2,50.34
2020-12-15,50.76,50.3,50.89,49.78
2020-12-14,50.29,50.05,50.8,49.13
2020-12-11,49.97,50.45,50.74,49.74
2020-12-10,50.25,49,51.06,48.86
2020-12-09,48.86,48.84,49.55,48.4
2020-12-08,48.84,48.58,49,48.09
2020-12-07,48.79,49.23,49.43,48.4
2020-12-04,49.25,48.96,49.92,48.84
2020-12-03,48.71,48,48.94,47.67
2020-12-02,48.25,47.05,48.76,46.82
2020-12-01,47.42,47.79,48.3,46.88
2020-11-30,47.59,47.91,47.99,46.85
2020-11-27,48.18,47.81,48.44,47.34
2020-11-26,47.8,48.76,49.09,47.53
2020-11-25,48.61,47.8,49.06,47.72
2020-11-24,47.86,45.9,48.03,45.89
2020-11-23,46.06,45.08,46.12,44.89
2020-11-20,44.96,44.15,45.24,44.05
2020-11-19,44.2,43.96,44.57,43.79
2020-11-18,44.34,43.75,44.89,43.48
2020-11-17,43.75,43.89,44.25,43.08
2020-11-16,43.82,42.71,44.67,42.71
2020-11-13,42.78,43.2,43.34,42.63
2020-11-12,43.53,43.73,44.5,43.26
2020-11-11,43.8,43.77,45.3,43.6
2020-11-10,43.61,41.75,44.11,41.71
2020-11-09,42.4,39.65,43.48,39.46
2020-11-06,39.45,40.63,40.69,39.34
2020-11-05,40.93,40.96,41.53,40.33
2020-11-04,41.23,40.13,41.33,39.42
2020-11-03,39.71,39.26,40.45,38.65
2020-11-02,38.97,37.37,39.36,35.74
2020-10-30,37.46,37.5,38.1,36.8
2020-10-29,37.65,39.16,39.45,36.64
2020-10-28,39.12,40.61,40.7,38.75
2020-10-27,41.2,40.5,41.47,40.4
2020-10-26,40.46,41.53,41.63,40.22
2020-10-23,41.77,42.4,42.8,41.5
2020-10-22,42.46,41.59,42.79,41.46
2020-10-21,41.73,42.91,43.04,41.45
2020-10-20,43.16,42.45,43.3,42.19
2020-10-19,42.62,42.69,43.23,42.36
2020-10-16,42.93,43.1,43.21,42.27
2020-10-15,43.16,43.45,43.48,41.56
2020-10-14,43.32,42.43,43.45,42.13
2020-10-13,42.45,41.81,42.68,41.66
2020-10-12,41.72,42.6,42.71,41.36
2020-10-09,42.85,43.36,43.57,42.61
2020-10-08,43.34,42.15,43.47,41.86
2020-10-07,41.99,41.85,42.42,41.36
2020-10-06,42.65,41.41,42.84,41.22
2020-10-05,41.29,39.19,41.78,39.14
2020-10-02,39.27,40.65,40.77,38.79
2020-10-01,40.93,42.17,42.56,39.92
2020-09-30,40.95,40.66,40.98,40.3
2020-09-29,41.03,42.47,42.52,40.43
2020-09-28,42.43,41.87,42.62,41.48
2020-09-25,41.92,41.85,42.33,41.52
2020-09-24,41.94,41.36,42.02,41.27
2020-09-23,41.77,41.67,42.62,41.21
2020-09-22,41.72,41.79,42.2,41.21
2020-09-21,41.44,43.01,43.3,40.96
2020-09-18,43.15,43.22,43.8,42.53
2020-09-17,43.3,42.32,43.5,41.5
2020-09-16,42.22,40.72,42.44,40.59
2020-09-15,40.53,39.7,40.82,39.39
2020-09-14,39.61,39.78,40.09,39.3
2020-09-11,39.83,39.96,40.34,39.38
2020-09-10,40.06,40.58,40.96,39.71
2020-09-09,40.79,39.65,41.2,39.37
2020-09-08,39.78,42.08,42.23,39.31
2020-09-07,42.01,42.2,42.43,41.51
2020-09-04,42.66,43.76,44.54,42.3
2020-09-03,44.07,44.65,44.65,43.15
2020-09-02,44.43,45.83,46.05,44.2
2020-09-01,45.58,45.6,46.22,45.47
2020-08-31,45.28,45.8,46.53,45.21
2020-08-28,45.05,45.1,45.3,44.8
2020-08-27,45.09,45.7,45.87,44.56
2020-08-26,45.64,45.97,46.1,45.54
2020-08-25,45.86,45.12,46.07,45.08
2020-08-24,45.13,44.5,45.18,44.29
2020-08-21,44.35,45.03,45.08,43.59
2020-08-20,44.9,45.14,45.18,44.02
2020-08-19,45.37,45.17,45.48,44.81
2020-08-18,45.46,45.27,45.55,44.76
2020-08-17,45.37,44.86,45.41,44.53
2020-08-14,44.8,45.29,45.29,44.47
2020-08-13,44.96,45.32,45.58,44.82
2020-08-12,45.43,44.62,45.63,44.49
2020-08-11,44.5,45.05,45.79,44.39
2020-08-10,44.99,44.66,45.26,44.37
2020-08-07,44.4,45.15,45.3,44.27
2020-08-06,45.09,45.32,45.71,44.85
2020-08-05,45.17,44.28,46.23,44.24
2020-08-04,44.43,43.84,44.82,43.24
2020-08-03,44.15,43.53,44.46,42.89
2020-07-31,43.3,43.29,43.44,43.05
2020-07-30,42.94,43.73,43.8,41.38
2020-07-29,43.75,43.31,43.95,43.2
2020-07-28,43.22,43.55,43.84,43
2020-07-27,43.41,43.35,43.77,42.39
2020-07-24,43.34,43.27,43.9,42.79
2020-07-23,43.31,44.1,44.77,43.13
2020-07-22,44.29,44.03,44.4,43.62
2020-07-21,44.32,43.17,44.89,43.16
2020-07-20,43.28,43.08,43.45,42.36
2020-07-17,43.14,43.4,43.45,42.64
2020-07-16,43.37,43.71,43.8,43.14
2020-07-15,43.79,43.07,43.85,42.7
2020-07-14,42.9,42.24,43.22,41.8
2020-07-13,42.72,43.12,43.34,42.14
2020-07-10,43.24,42.36,43.42,41.32
2020-07-09,42.35,43.3,43.5,41.94
2020-07-08,43.29,42.81,43.47,42.75
2020-07-07,43.08,43.13,43.45,42.46
2020-07-06,43.1,42.79,43.71,42.74
2020-07-03,42.8,42.76,42.99,42.32
2020-07-02,43.14,41.84,43.23,41.73
2020-07-01,42.03,41.58,42.62,41.03
2020-06-30,41.15,41.33,41.62,40.9
2020-06-29,41.71,40.56,41.95,40.04
2020-06-26,41.02,41.44,41.81,40.29
2020-06-25,41.05,40.35,41.64,39.47
2020-06-24,40.31,42.45,42.89,39.63
2020-06-23,42.63,43.21,43.93,42.21
2020-06-22,43.08,41.74,43.18,41.58
2020-06-19,42.19,41.72,42.92,41.03
2020-06-18,41.51,40.43,41.64,40.06
2020-06-17,40.71,40.61,41.46,40.03
2020-06-16,40.96,39.94,41.65,38.95
2020-06-15,39.72,38.8,39.9,37.24
2020-06-12,38.73,37.88,39.45,37.01
2020-06-11,38.55,40.95,41.01,37.82
2020-06-10,41.73,40.72,41.99,40.14
2020-06-09,41.18,41.1,41.45,39.85
2020-06-08,40.8,42.4,43.41,40.68
2020-06-05,42.3,39.84,42.48,39.72
2020-06-04,39.99,39.6,40.1,39.04
2020-06-03,39.79,39.75,40.53,38.76
2020-06-02,39.57,38.34,39.75,38.26
2020-06-01,38.32,37.56,38.68,37.18
2020-05-29,35.33,35.15,35.37,34.06
2020-05-28,35.29,33.92,35.95,33.62
2020-05-27,34.74,35.93,36.16,33.98
2020-05-26,36.17,35.66,36.68,35.26
2020-05-25,35.53,34.98,35.97,34.46
2020-05-22,35.13,36.18,36.23,33.54
2020-05-21,36.06,35.82,36.98,35.75
2020-05-20,35.75,34.45,36.46,34.38
2020-05-19,34.65,35.66,35.76,34.2
2020-05-18,34.81,32.78,35.72,32.69
2020-05-15,32.5,31.52,32.91,30.94
2020-05-14,31.13,29.52,31.55,28.88
2020-05-13,29.19,29.35,30.55,28.86
2020-05-12,29.98,30.07,30.7,29.35
2020-05-11,29.63,30.7,31.47,29.35
2020-05-08,30.97,29.6,31.14,29.43
2020-05-07,29.46,29.64,31.84,29.08
2020-05-06,29.72,32.27,32.27,28.66
2020-05-05,30.97,28.1,32.06,27.77
2020-05-04,27.2,26.1,28.08,25.5
2020-05-01,26.44,26.95,27.88,25.76
2020-04-30,25.27,22.87,25.76,22.87
2020-04-29,22.54,20.66,23.88,20.53
2020-04-28,20.46,19.9,21.29,18.73
2020-04-27,19.99,21.55,21.91,19.11
2020-04-24,21.44,21.93,22.7,20.5
2020-04-23,21.33,20.89,23.22,20.07
2020-04-22,20.37,20.23,22.45,15.98
2020-04-21,19.33,26.33,26.5,17.51
2020-04-20,25.57,28.05,28.25,25.37
2020-04-17,28.08,28.66,28.93,27.58
2020-04-16,27.82,28.05,29,27.2
2020-04-15,27.69,30.26,30.33,27.16
2020-04-14,29.6,32.25,32.32,29.38
2020-04-13,31.74,33.99,33.99,30.63
2020-04-09,31.48,33.82,36.4,31.18
2020-04-08,32.84,32.63,33.87,31.54
2020-04-07,31.87,33.66,34.18,31.74
2020-04-06,33.05,31.76,34.24,30.03
2020-04-03,34.11,29.89,35,28.25
2020-04-02,29.94,25.61,36.29,25.45
2020-04-01,24.74,25.99,26.28,24.52
2020-03-31,22.74,23,23.87,22.59
2020-03-30,22.76,23.85,24.44,21.65
2020-03-27,24.93,26.68,27,24.13
2020-03-26,26.34,27.35,27.75,26.03
2020-03-25,27.39,27.8,28.29,25.68
2020-03-24,27.15,27.72,28.65,26.69
2020-03-23,27.03,26.75,27.54,24.68
2020-03-20,26.98,28.1,30.94,26.81
2020-03-19,28.47,27.19,29.42,24.96
2020-03-18,24.88,28.4,29.21,24.52
2020-03-17,28.73,30.14,31.25,28.5
2020-03-16,30.05,35.82,35.84,29.45
2020-03-13,33.85,32.85,36.15,32.5
2020-03-12,33.22,35.99,36.46,32.5
2020-03-11,35.79,37.27,39.7,35.35
2020-03-10,37.22,35.84,38.22,35
2020-03-09,34.36,38.28,38.34,31.02
2020-03-06,45.27,50.25,50.45,45.18
2020-03-05,49.99,51.66,52.04,49.7
2020-03-04,51.13,52.11,53.03,51.04
2020-03-03,51.86,53.47,53.9,51.22
2020-03-02,51.9,48.95,53.2,48.4
2020-02-28,50.52,51.42,51.52,50.05
2020-02-27,52.18,53.18,53.25,50.97
2020-02-26,53.43,55.13,55.45,53.03
2020-02-25,54.95,56.46,56.98,54.62
2020-02-24,56.3,57.85,57.86,55.13
2020-02-21,58.5,59,59.25,57.73
2020-02-20,59.31,59.31,60,58.9
2020-02-19,59.12,57.6,59.4,57.51
2020-02-18,57.75,57.35,57.83,56.3
2020-02-17,57.67,57.29,57.7,56.83
2020-02-14,57.32,56.41,57.53,56.15
2020-02-13,56.34,55.75,56.83,54.96
2020-02-12,55.79,54.41,56.36,54.39
2020-02-11,54.01,53.62,54.69,53.6
2020-02-10,53.27,54.2,54.71,53.11
2020-02-07,54.47,55.14,55.4,54.21
2020-02-06,54.93,55.56,56.58,54.25
2020-02-05,55.28,54.05,56.46,54.05
2020-02-04,53.96,54.33,55.65,53.69
2020-02-03,54.45,56.16,56.77,54.08
2020-01-31,58.16,59.3,59.45,57.94
2020-01-30,58.29,59.6,59.65,57.71
2020-01-29,59.81,59.86,60.62,59.26
2020-01-28,59.51,59.03,60.12,58.5
2020-01-27,59.32,60.23,60.49,58.5
2020-01-24,60.69,62.01,62.46,60.25
2020-01-23,62.04,62.68,62.69,61.25
2020-01-22,63.21,64.57,64.58,62.62
2020-01-21,64.59,65.26,65.35,64.06
2020-01-20,65.2,65.98,66,64.92
